"id","hour","temp","atemp","hum","windspeed","casual"
"1",0,0.24,0.2879,0.81,0,3
"1",0.0434782608695652,0.22,0.2727,0.8,0,8
"1",0.0869565217391304,0.22,0.2727,0.8,0,5
"1",0.130434782608696,0.24,0.2879,0.75,0,3
"1",0.173913043478261,0.24,0.2879,0.75,0,0
"1",0.217391304347826,0.24,0.2576,0.75,0.0896,0
"1",0.260869565217391,0.22,0.2727,0.8,0,2
"1",0.304347826086957,0.2,0.2576,0.86,0,1
"1",0.347826086956522,0.24,0.2879,0.75,0,1
"1",0.391304347826087,0.32,0.3485,0.76,0,8
"1",0.434782608695652,0.38,0.3939,0.76,0.2537,12
"1",0.478260869565217,0.36,0.3333,0.81,0.2836,26
"1",0.521739130434783,0.42,0.4242,0.77,0.2836,29
"1",0.565217391304348,0.46,0.4545,0.72,0.2985,47
"1",0.608695652173913,0.46,0.4545,0.72,0.2836,35
"1",0.652173913043478,0.44,0.4394,0.77,0.2985,40
"1",0.695652173913043,0.42,0.4242,0.82,0.2985,41
"1",0.739130434782609,0.44,0.4394,0.82,0.2836,15
"1",0.782608695652174,0.42,0.4242,0.88,0.2537,9
"1",0.826086956521739,0.42,0.4242,0.88,0.2537,6
"1",0.869565217391304,0.4,0.4091,0.87,0.2537,11
"1",0.91304347826087,0.4,0.4091,0.87,0.194,3
"1",0.956521739130435,0.4,0.4091,0.94,0.2239,11
"1",1,0.46,0.4545,0.88,0.2985,15
"2",0,0.18,0.197,0.51,0.1642,1
"2",0.0434782608695652,0.18,0.2121,0.55,0.0896,1
"2",0.0869565217391304,0.18,0.2424,0.55,0,3
"2",0.130434782608696,0.18,0.197,0.55,0.1642,0
"2",0.173913043478261,0.18,0.197,0.55,0.1642,0
"2",0.217391304347826,0.16,0.1667,0.74,0.1642,0
"2",0.260869565217391,0.16,0.1667,0.74,0.1642,0
"2",0.304347826086957,0.16,0.1818,0.74,0.1045,1
"2",0.347826086956522,0.16,0.1818,0.93,0.1045,0
"2",0.391304347826087,0.16,0.1818,0.93,0.1045,0
"2",0.434782608695652,0.18,0.197,0.8,0.1642,5
